categorie,nom_enseigne,id_wikidata,regle_ouverture,horaires,infos,url_source,url_horaires
alcohol,Nicolas,Q3340012,partiel,,,https://www.nicolas.com/,https://www.nicolas.com/fr/reouverture-de-quelques-magasins-nicolas.html
bakery,Boulangerie Louise,,ouvert_adapté,Mo-Sa 08:00-18:00,,https://www.boulangerielouise.com/,
bakery,Brioche Dorée,Q2925606,partiel,,,https://www.briochedoree.fr/,
bakery,Fischer,,ouvert_adapté,,,https://lu.fischer1913.com/fr/actualites,https://lu.fischer1913.com/fr/boulangeries/nos-points-de-vente
bakery,La Mie Câline,Q3210704,ouvert_adapté,,,https://www.lamiecaline.com/fr/,
bakery,La Mie de Pain,,ouvert_adapté,,À emporter uniquement,https://www.facebook.com/lamiedepain,
bakery,Marie Blachère,Q62082410,ouvert_adapté,,Téléphoner pour obtenir les horaires,https://www.marieblachere.com/actualites/vos-boulangeries-face-au-covid-19/,
bakery,Paul,Q3370417,partiel,,,https://www.paul.fr/fr/,https://www.paul.fr/fr/nos-boutiques
bakery,Sophie Lebreuilly,Q66372229,ouvert_adapté,Mo-Sa 07:00-18:00;Su 07:00-14:00,,https://sophie-lebreuilly.com/actu/,
bank,Banque Populaire,Q846647,partiel,,Privilégier les échanges à distance,https://www.banquepopulaire.fr/portailinternet/Editorial/Informations/Pages/covid19/toujours-a-vos-cotes-1.aspx,
bank,Banque Populaire Grand Ouest,Q846647,partiel,,Privilégier les échanges à distance,https://www.banquepopulaire.fr/portailinternet/Editorial/Informations/Pages/covid19/toujours-a-vos-cotes-1.aspx,
bank,BNP Paribas,Q499707,partiel,,,https://mabanque.bnpparibas/rsc/contrib/pdf/EtreLaPourVous.pdf,
bank,BRED,Q846647,ouvert,,Privilégier les échanges à distance,https://www.banquepopulaire.fr/portailinternet/Editorial/Informations/Pages/covid19/toujours-a-vos-cotes-1.aspx,
bank,BRED Banque Populaire,Q846647,ouvert,,Privilégier les échanges à distance,https://www.banquepopulaire.fr/portailinternet/Editorial/Informations/Pages/covid19/toujours-a-vos-cotes-1.aspx,
bank,Caisse d’Épargne,Q1547738,ouvert,,Privilégier les canaux d’échanges numériques,https://www.caisse-epargne.fr/particuliers/au-quotidien/toujours-a-vos-cotes,
bank,CIC,Q746525,ouvert_adapté,,,https://www.cic.fr/fr/coronavirus-covid-19-cic-a-vos-cotes.html,
bank,Crédit Agricole,Q590952,ouvert_adapté,,,https://www.credit-agricole.com/chaines-d-infos/toutes-les-chaines-d-info-du-groupe-credit-agricole/a-la-une/covid-19-le-groupe-credit-agricole-se-mobilise,
bank,Crédit Coopératif,Q3006190,partiel,,,https://www.credit-cooperatif.coop/COVID-19-Credit-Cooperatif-et-vous,
bank,Crédit du Nord,Q3006209,ouvert,,,https://twitter.com/creditdunord/status/1241380358672781312,
bank,Crédit Maritime,Q17176866,ouvert,,Privilégier les échanges à distance,https://www.creditmaritime.fr/,
bank,Crédit Mutuel,Q642627,ouvert,,,https://www.creditmutuel.fr/fr/coronavirus-covid-19-credit-mutuel-a-vos-cotes.html,
bank,Crédit Mutuel Arkéa,Q3006236,fermé,,Services en ligne et contact possible par téléphone,https://www.arkea.com/banque/assurance/credit/accueil,
bank,Crédit Mutuel de Bretagne,Q3006236,fermé,,Services en ligne et contact possible par téléphone,https://www.arkea.com/banque/assurance/credit/accueil,
bank,HSBC,Q3125186,partiel,,,https://www.hsbc.fr/a-vos-cotes/coronavirus/,
bank,La Banque Postale,Q3206431,ouvert_adapté,,,https://www.labanquepostale.fr/particulier/actualites/covid19.html,
bank,LCL,Q779722,ouvert_adapté,,Préférer les échanges à distance,https://www.lcl.fr/vous-ne-pouvez-pas-vous-deplacer,
bank,Société Générale,Q270363,partiel,,"Ouvert le matin sur rendez-vous, l’après-midi contact uniquement par téléphone",https://particuliers.societegenerale.fr/articles-actualites/covid-19,
bank,Société Marseillaise de Crédit,Q3488479,ouvert,,,https://www.smc.fr/icd/static/wem/agora/smc/medias/20200319_CP_SMCmesuresCovid19.pdf,
beauty,Marionnaud,Q1129073,ouvert,,,https://www.marionnaud.fr/covid-mesures-reouvertures-magasins,
beauty,Yves Rocher,Q28496595,ouvert_adapté,,,https://www.yves-rocher.fr/,
cafe,Columbus Café & Co,Q90406058,partiel,,,https://www.columbuscafe.com/info-covid-19/,https://www.columbuscafe.com/info-covid-19/
cafe,Starbucks,Q37158,fermé,,,https://www.starbucks.fr/,
car_rental,Ada,Q57313774,ouvert,,,https://www.ada.fr/,
car_rental,Alamo,Q1429287,partiel,,,https://www.alamo.fr/alerte/,
car_rental,Avis,Q791136,ouvert,,,https://www.avis.fr/avis-coronavirus-advice,
car_rental,Budget,Q1001437,partiel,,,https://www.budget.fr/Informations-importantes-coronavirus,https://abg-my.sharepoint.com/:b:/p/x601862_em/EVwciUYw-lxOmxCkeyYMk-0BTcEO7xQHJNx5XVS2mE-WKQ?e=5vzaxM
car_rental,Enterprise,Q17085454,partiel,,,https://www.enterprise.fr/fr/aide/notifications/branch-closure-notification.html,
car_rental,Europcar,Q1376256,partiel,,,https://www.europcar.fr/,
car_rental,Hertz,Q1543874,partiel,,,https://www.hertz.fr/rentacar/misc/index.jsp?targetPage=coronavirus_travel_safety_tips.xml,http://images.hertz.com/pdfs/frFR/informations_agences.pdf
car_rental,Rent A Car,Q3425574,partiel,,,https://www.rentacar.fr/nos-dossiers/267-precaution-coronavirus,
car_rental,Sixt,Q705664,ouvert,,,https://www.sixt.fr/magazine/actualites/informations-actuelles-voyages/,
car_rental,Ucar,,ouvert_adapté,,,https://ucar.fr/Portals/_default/Skins/Ucar/Images/Engagement_UCAR_COVID19.pdf,
car_repair,AD,Q18697078,partiel,,,https://www.autodistribution.fr/,https://www.autodistribution.fr/magasins-pieces-auto
car_repair,Autodistribution,Q18697078,partiel,,,https://www.autodistribution.fr/,https://www.autodistribution.fr/magasins-pieces-auto
