country,category,brand+AF8-name,wikidata+AF8-id,opening+AF8-rule,opening+AF8-hours,osm+AF8-additional+AF8-tags,description,source+AF8-url,opening+AF8-hours+AF8-url,,
AD,fast+AF8-food,McDonald's,Q38076,closed,,,,,,,
AD,fast+AF8-food,Burger King,Q177054,closed,,,,,,,
AT,bakery,Anker,Q557116,partial,,,,https://www.ankerbrot.at/,https://www.ankerbrot.at/filialen,,
AT,bakery,Str+//3//Q-ck,Q2357607,open+AF8-adapted,,,,https://stroeck.at/aktionen/aktuelles/massnahmen+AF8-coronavirus,https://stroeck.at/de/filialen,,
AT,bank,Bank Austria,Q697619,partial,,,Physische Beratung nur an Hochfrequenzstandorten und Flagship+AC0-Filialen.,https://www.bankaustria.at/aktuelle+AC0-hinweise.jsp?ucid+AD0-INT+AC0-8351+AC0-Wichtige+AF8-Mitteilung+AC0-Website,https://filialen.bankaustria.at/de/,,
AT,bank,BAWAG PSK,Q379938,open+AF8-adapted,,,Nur dringend notwendige Besuche.,https://www.bawagpsk.com/BAWAGPSK/PK/services/aktuelles/498332/warnung+AC0ALQ-coronavirus.html,https://www.bawagpsk.com/BAWAGPSK/PK/filialsuche/269546/filialsuche.html,,
AT,bank,Erste Bank,Q696867,open+AF8-adapted,,,Nur in besonderes dringenden F+//3//Q-llen. F+//3//Q-r Risikogruppen: Mo+AC0-Fr 09:00+AC0-10:00 Uhr.,https://www.sparkasse.at/erstebank/kundeninformation+AC0-coronavirus,https://www.sparkasse.at/erstebank/filialen+AC0-oeffungszeiten,,
AT,bank,Oberbank,Q2009139,open,,,,https://www.oberbank.at/coronavirus+AF8-information+AF8-15032020,https://www.oberbank.at/filialfinder,,
AT,bank,Raiffeisenbank,Q24282825,open+AF8-adapted,,,,https://www.raiffeisen.at/de/meine+AC0-bank/kundenservice/kundeninformation+AC0-covid+AC0-19.html,https://www.raiffeisen.at/de/meine+AC0-bank/raiffeisen+AC0-bankengruppe/raiffeisenbanken.html,,
AT,bank,Volksbank,Q695110,open,,,,https://www.volksbank.at/m101/volksbank/de/individuelle+AF8-seite/volksbank+AF8-gruppe/covid+AF8-19.jsp,https://www.volksbank.at/filialfinder,,
AT,car+AF8-repair,ARB+//3//Q-,Q784673,open+AF8-adapted,,,,https://www.arboe.at/infos/corona/,https://www.arboe.at/infos/corona/sonderoeffnungszeiten+AC0-der+AC0-arboe+AC0-pruefzentren/,,
AT,car+AF8-repair,+//3//Q-AMTC,Q306057,partial,,,,https://www.oeamtc.at/nothilfe/corona+AC0-nothilfe+AC0-gesichert+AC0-36945135,https://www.oeamtc.at/nothilfe/corona+AC0-nothilfe+AC0-gesichert+AC0-36945135+ACM-oeamtc+AC0-standorte+AC0-36945188,,
AT,chemist,Bipa,Q864933,open+AF8-adapted,,,,https://www.bipa.at/bipa/fuersieda.html,https://www.bipa.at/filialen,,
AT,chemist,dm,Q266572,open+AF8-adapted,,,,https://www.dm+AC0-drogeriemarkt.at/wirgebenaufeinanderacht+AC0-139444,https://www.dm+AC0-drogeriemarkt.at/store,,
AT,doityourself,Lagerhaus,Q10553211,open+AF8-adapted,,,,https://www.lagerhaus.at/sortiment/a/nahversorger+AC0-bleiben+AC0-geoffnet,https://www.lagerhaus.at/standortsuche,,
AT,fast+AF8-food,McDonald's,Q38076,partial,,+ACI-+AHs- +ACIAIg-access:covid19+ACIAIg-: +ACIAIg-no+ACIAIg- +AH0-+ACI-,Nur McDrive und McDelivery in ausgew+//3//Q-hlten Restaurants.,https://www.mcdonalds.at/restaurant+AC0-finder,https://www.mcdonalds.at/restaurant+AC0-finder,,
AT,furniture,XXXLutz,Q70339467,open,,,,,https://www.xxxlutz.at/,,
AT,fuel,Avanti,Q168238,open+AF8-adapted,,,,https://www.avanti.at/de+AC0-at/einfach+AC0-/fuer+AC0-sie+AC0-da,https://www.avanti.at/services/downloads/00/avanti.at/1522183760982/dload+AF8-Liste+ACU-20Standorte+ACU-20inklusive+ACU-20+ACU-C3+ACU-96ffnungszeiten+AF8-Avanti+ACU-20AT,,
AT,fuel,BP,Q152057,open+AF8-adapted,,,BP car wash geschlossen.,https://www.bp.com/de+AF8-at/austria/home/produkte+AC0-und+AC0-services/wir+AC0-sind+AC0-fuer+AC0-sie+AC0-da.html,https://www.bp.com/de+AF8-at/austria/home/produkte+AC0-und+AC0-services/bp+AC0-in+AC0-ihrer+AC0-naehe.html,,
AT,fuel,Eni,Q565594,open+AF8-adapted,,,,,http://travel.eni.com/iveportal/stations/stationfinder.do?locale+AD0-de+AF8-AT,,
AT,fuel,Jet,Q568940,open+AF8-adapted,Mo+AC0-Fr 06:00+AC0-20:00, Sa+AC0-So 07:00+AC0-20:00, PH 07:00+AC0-20:00,,,https://www.jet+AC0-tankstellen.at/,https://www.jet+AC0-tankstellen.at/
AT,fuel,Shell,Q154950,open+AF8-adapted,,,,https://www.shell.at/covid19.html,https://www.shell.at/promos/motorists+AC0-promos/petrol+AC0-station+AC0-search.html,,
AT,fuel,Turm+//3//Q-l,Q1473279,open+AF8-adapted,,,,https://turm+//3//Q-l.at/tanken,https://xn+AC0ALQ-turml+AC0-mua.at/wp+AC0-content/uploads/2020/04/20200410+AC0AJQ-C3+ACU-96ffnungszeiten+AC0-Tankstellen.pdf,,
AT,pet,Fressnapf,Q875796,open+AF8-adapted,Mo+AC0-Fr 09:00+AC0-18:00, Sa 09:00+AC0-16:00,,,https://www.fressnapf.at/corona,https://www.fressnapf.at/storefinder,
AT,post+AF8-office,+//3//Q-sterreichische Post AG,Q1763505,open,,,,https://www.post.at/p/c/corona,https://www.post.at/sf/standortfinder,,
AT,supermarket,Billa,Q537781,open+AF8-adapted,Mo+AC0-Fr 07:40+AC0-19:00, Sa 07:40+AC0-18:00,,,https://www.billa.at/filialfinder,https://www.billa.at/filialen,
AT,supermarket,Eurospar,Q12309283,open+AF8-adapted,,,,https://www.spar.at/standorte,https://www.spar.at/standorte,,
AT,supermarket,Hofer,Q15815751,open+AF8-adapted,Mo+AC0-Sa 07:40+AC0-18:00,,Risikogruppen von 08:00+AC0-09:00 Uhr.,https://www.hofer.at/de/informationen/aktuelle+AC0-informationen.html,https://www.hofer.at/de/filialen.html,,
AT,supermarket,Lidl,Q151954,open+AF8-adapted,Mo+AC0-Fr 07:40+AC0-19:00, Sa 07:40+AC0-18:00,,,https://www.lidl.at/info/filialsuche+AC0-oeffnungszeiten,https://www.lidl.at/info/filialsuche+AC0-oeffnungszeiten,
AT,supermarket,Merkur,Q1921857,open+AF8-adapted,Mo+AC0-Fr 07:40+AC0-19:00, Sa 07:40+AC0-18:00,,,https://www.merkurmarkt.at/p/corona+AC0-virus,https://www.merkurmarkt.at/marktplatz/ihr+AC0-einkauf/maerkte+AC0-und+AC0-oeffnungszeiten,
AT,supermarket,MPREIS,Q873491,open+AF8-adapted,Mo+AC0-Fr 07:40+AC0-19:00, Sa 07:40+AC0-18:00,,,https://www.mpreis.at/informationen+AC0-zur+AC0-aktuellen+AC0-lage,https://www.mpreis.at/sp/standorte,
AT,supermarket,Penny,Q284688,open+AF8-adapted,Mo+AC0-Fr 07:40+AC0-19:00, Sa 07:40+AC0-18:00,,,https://www.penny.at/campaigns/gemeinsamschaffenwirdas,https://www.penny.at/my+AC0-stores,
AT,supermarket,Spar,Q610492,open,,,,https://presse.spar.at/news+AC0-spar+AC0-maerkte+AC0-haben+AC0-geoeffnet+AC0-lebensmittel+AC0-werden+AC0-laufend+AC0-nachgeliefert?id+AD0-103272+ACY-menueid+AD0-21125+ACY-l+AD0-deutsch,https://www.spar.at/standorte,,
CH,bakery,Brezelk+//3//Q-nig,,open,,,,,https://brezelkoenig.ch/de/standorte/?Format+AD0-11,,
CH,bakery,Frei,,open,,,,https://www.baeckerei+AC0-frei.ch,https://www.baeckerei+AC0-frei.ch/de+AC0-ch/filialen+AC0-standorte+AC0-cafe.html,,
CH,bakery,Hausammann Zopfbeck,,open,,,,http://www.zopfbeck.ch/,http://www.zopfbeck.ch/,,
CH,bakery,Hug,,open,,,,https://www.baeckerei+AC0-hug.ch,https://www.baeckerei+AC0-hug.ch/filialen/standorte/,,
CH,bakery,Kleiner,,open,,,,https://kleiner+AC0-baeckerei.ch,https://kleiner+AC0-baeckerei.ch/standorte/,,
CH,bakery,Steiner Beck,,partial,,,,https://www.steiner+AC0-beck.ch/news+AC0-coronavirus/,https://www.steiner+AC0-beck.ch/filialen/,,
CH,bakery,Steiner Flughafebeck,,open+AF8-adapted,,,,https://www.flughafebeck.ch/standorte/,,,
CH,bakery,Voland,,open,,,,https://www.baumerfladen.ch/,https://www.baumerfladen.ch/filialen,,
CH,bakery,Walter Buchmann AG,,open,,,,https://www.buchmannbeck.ch/standorte/,,,
CH,bakery,W+//3//Q-st,,open,,,,https://baeckereiwuest.ch/,https://baeckereiwuest.ch/filialen,,
CH,bank,Aargauische Kantonalbank,Q301269,open,,,,https://www.akb.ch/coronavirus,https://www.akb.ch,,
CH,bank,Appenzeller Kantonalbank,Q620963,partial,,,,https://www.appkb.ch/private/NEWSID+AC0-926,https://www.appkb.ch,,
CH,bank,Avera,Q1101061,partial,,,,https://bank+AC0-avera.ch/ueber+AC0-uns/publikationen/reduzierter+AC0-filialbetrieb,https://bank+AC0-avera.ch,,
CH,bank,Basellandschaftliche Kantonalbank,Q809931,open,,,,https://www.blkb.ch/,https://www.blkb.ch/,,
CH,bank,Basler Kantonalbank,Q810408,open,,,,https://www.bkb.ch/de/privatkunden/aktuelle+AC0-situation+AC0-rund+AC0-um+AC0-das+AC0-coronavirus,https://www.bkb.ch,,
CH,bank,Berner Kantonalbank,Q824579,open,,,,https://www.bekb.ch/de/corona,https://www.bekb.ch,,
CH,bank,Credit Suisse,Q372657,partial,,,,https://www.credit+AC0-suisse.com/ch/de/corona+AC0-information/wir+AC0-sind+AC0-fuer+AC0-sie+AC0-da/geschaeftsstellen+AC0-info.html,,,
CH,bank,Freiburger Kantonalbank,Q1453871,open,,,,https://www.bcf.ch/de/die+AC0-fkb/news+AC0-und+AC0-medien/covid+AC0-19,https://www.bcf.ch,,
CH,bank,Glarner Kantonalbank,Q1529290,open,,,,https://www.glkb.ch/+ACU-C3+ACU-BCber+AC0-uns/coronavirus,https://www.glkb.ch,,
CH,bank,Graub+//3//Q-ndner Kantonalbank,Q1543702,open,,,,https://www.gkb.ch/de/ueber+AC0-uns/aktuelles/mitteilungen/coronavirus+AC0-kundeninformation,https://www.gkb.ch,,
CH,bank,Luzerner Kantonalbank,Q1756878,open,,,,https://www.lukb.ch/de/coronavirus,https://www.lukb.ch,,
CH,bank,Migros Bank,Q1593349,open,,,,https://www.migrosbank.ch/de/coronavirus.html,https://www.migrosbank.ch,,
CH,bank,Nidwaldner Kantonalbank,Q1987417,open,,,,https://www.nkb.ch/corona,https://www.nkb.ch,,
CH,bank,Obwaldner Kantonalbank,Q1291630,open,,,,https://www.owkb.ch/ueber+AF8-uns/coronavirus.htm,https://www.owkb.ch,,
CH,bank,Raiffeisen,Q681189,partial,,,Nur in dringenden f+//3//Q-llen auf Voranmeldung,https://www.raiffeisen.ch/cham+AC0-steinhausen/de/privatkunden/5+AC0-tipps+AC0-in+AC0-zeiten+AC0-von+AC0-corona.html?cid+AD0-corona:privat+AC0-211c:raiffeisen:mc+AC0-int+AC0-header:corona,,,
CH,bank,Raiffeisenbank,Q681189,partial,,,Nur in dringenden f+//3//Q-llen auf Voranmeldung,https://www.raiffeisen.ch/cham+AC0-steinhausen/de/privatkunden/5+AC0-tipps+AC0-in+AC0-zeiten+AC0-von+AC0-corona.html?cid+AD0-corona:privat+AC0-211c:raiffeisen:mc+AC0-int+AC0-header:corona,,,
CH,bank,Schaffhauser Kantonalbank,Q2230058,open,,,,https://www.shkb.ch/,https://www.shkb.ch/,,
CH,bank,Schwyzer Kantolbank,Q2257957,open,,,,https://www.szkb.ch/pub/ueber+AC0-die+AC0-szkb/servicezentrum/informieren/coronavirus,https://www.szkb.ch,,
CH,bank,St.Galler Kantonalbank,Q2316809,open,,,,https://www.sgkb.ch/de/coronavirus,https://www.sgkb.ch,,
CH,bank,Thurgauer Kantonalbank,Q2430020,open,,,,https://www.tkb.ch/private/coronavirus,https://www.tkb.ch,,
CH,bank,UBS,Q193199,partial,,,,https://www.ubs.com/ch/de/help/covid+AC0-info.html,,,
CH,bank,Urner Kantonalbank,Q17051583,open,,,,https://www.ukb.ch/unsere+AC0-bank/portrait/aktueller+AC0-bankbetrieb/,https://www.ukb.ch,,
CH,bank,Walliser Kantonalbank,Q2543025,open,,,,https://www.bcvs.ch/,https://www.bcvs.ch/,,
CH,bank,Zuger Kantonalbank,Q228365,open,,,,https://www.zugerkb.ch/die+AC0-zugerkb/zuger+AC0-kantonalbank/coronavirus,https://www.zugerkb.ch,,
CH,bank,Z+//3//Q-rcher Kantonalbank,Q248476,partial,,,,https://www.zkb.ch/de/gs/lp/pandemie+AC0-kundeninformation.html,https://www.zkb.ch,,
CH,books,Ex Libris,,closed,,,,,,,
CH,books,Orell F+//3//Q-ssli,,closed,,,,,,,
CH,books,Weltbild,,closed,,,,,,,
CH,chemist,Achillea Apotheke,,open,,,,,,,
CH,chemist,Amavita,,open,,,,https://www.amavita.ch/de/info+AC0-covid19,https://www.amavita.ch/de/storepickup,,
CH,chemist,Coop Vitality,,open,,,,,,,
CH,chemist,Dropa,Q1260273,open,,,,https://dropa.ch/ratgeber/alle+AC0-dropa+AC0-drogerien+AC0-und+AC0-apotheken+AC0-sind+AC0-geoeffnet,https://dropa.ch,,
CH,chemist,Medbase Apotheken,,open,,,,,,,
CH,chemist,Rotpunkt Apotheke,,open,,,,,,,
CH,chemist,TopPharm,,open,,,,,https://www.toppharm.ch/hauslieferdienst,,
CH,chemist,Topwell Apotheken AG,,open,,,,,,,
CH,doityourself,Bauhaus,Q672043,closed,,,,https://www.bauhaus.ch/de/content/aktuelles/aktuelle+AC0-situation.html,https://www.bauhaus.ch,,
CH,doityourself,Coop Bau+Hob//Q-,Q432564,partial,,,,,https://www.bauundhobby.ch/,,
CH,doityourself,Do it  Garden,Q680727,closed,,,,https://www.doitgarden.ch/de/cp/aktuell,https://www.doitgarden.ch,,
CH,doityourself,Hornbach,Q685926,closed,,,,https://www.hornbach.ch/aktuelles/aktuelle+AC0-informationen/,https://www.hornbach.ch/,,
CH,doityourself,Jumbo,,closed,,,,https://www.jumbo.ch/de/coronavirus+AC0-info,https://www.jumbo.ch/de,,
